DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-03 10:00:00,15 °C,7.1 °C,—,0 mm,37 km/h,—,1027 hPa,59 %
2024-11-03 11:00:00,16 °C,7 °C,—,0 mm,41 km/h,—,1028 hPa,55 %
2024-11-02 06:00:00,11.9 °C,10.5 °C,—,0 mm,8 km/h,14.8 km/h,1020.2 hPa,91 %
2024-11-02 07:00:00,11 °C,10.1 °C,—,0 mm,4 km/h,14.8 km/h,1019 hPa,94 %
2024-11-02 08:00:00,13 °C,11.1 °C,—,0 mm,4 km/h,—,1019 hPa,88 %
2024-11-02 09:00:00,12.5 °C,11.2 °C,—,0 mm,4 km/h,—,1020 hPa,92 %
2024-11-02 10:00:00,16 °C,12 °C,—,0 mm,6 km/h,—,1020 hPa,77 %
2024-11-02 11:00:00,17 °C,11.9 °C,—,0 mm,7 km/h,—,1019 hPa,72 %
2024-11-01 06:00:00,12.7 °C,9.9 °C,—,0 mm,11 km/h,16.7 km/h,1023.7 hPa,83 %
2024-11-01 07:00:00,12 °C,10.1 °C,—,0 mm,7 km/h,18.5 km/h,1023 hPa,88 %
2024-11-01 08:00:00,14 °C,11 °C,—,0 mm,9 km/h,—,1024 hPa,82 %
2024-11-01 09:00:00,14.1 °C,10.9 °C,—,0 mm,9 km/h,—,1024.5 hPa,81 %
2024-11-01 10:00:00,18 °C,12 °C,—,0 mm,15 km/h,—,1024 hPa,68 %
2024-11-01 11:00:00,18 °C,10.1 °C,—,0 mm,19 km/h,—,1024 hPa,60 %
2024-10-31 06:00:00,12.7 °C,7.8 °C,—,0 mm,9 km/h,20.4 km/h,1022.2 hPa,72 %
2024-10-31 07:00:00,13 °C,8.1 °C,—,0 mm,9 km/h,20.4 km/h,1023 hPa,72 %
2024-10-31 08:00:00,15 °C,8.9 °C,—,0 mm,11 km/h,—,1023 hPa,67 %
2024-10-31 09:00:00,14.6 °C,9 °C,—,0 mm,11 km/h,—,1023.8 hPa,69 %
2024-10-31 10:00:00,17 °C,9.9 °C,—,0 mm,24 km/h,—,1023 hPa,63 %
2024-10-31 11:00:00,18 °C,10.1 °C,—,0 mm,19 km/h,—,1023 hPa,60 %
2024-10-30 06:00:00,15.9 °C,12.3 °C,—,0 mm,18 km/h,—,1023.1 hPa,79 %
2024-10-30 07:00:00,15 °C,10 °C,—,0 mm,19 km/h,27.8 km/h,1023 hPa,72 %
2024-10-30 08:00:00,16 °C,10.1 °C,—,0 mm,19 km/h,—,1024 hPa,68 %
2024-10-30 09:00:00,15.6 °C,9.5 °C,—,0 mm,18 km/h,—,1024 hPa,67 %
2024-10-30 10:00:00,16.7 °C,8.9 °C,—,0 mm,26 km/h,—,1023.7 hPa,60 %
2024-10-30 11:00:00,18 °C,8 °C,—,0 mm,20 km/h,—,1023 hPa,52 %
2024-10-29 06:00:00,12.6 °C,10.8 °C,—,0 mm,8 km/h,—,1023.3 hPa,89 %
