DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2023-08-18 16:00:00,31 °C,22.1 °C,—,0 mm,35.3 km/h,—,1010 hPa,59 %
2023-08-18 17:00:00,30 °C,21.1 °C,—,0 mm,46.4 km/h,—,1010 hPa,59 %
2023-08-17 12:00:00,29.7 °C,21.6 °C,—,0 mm,31.3 km/h,—,1010.7 hPa,62 %
2023-08-17 13:00:00,31 °C,20.9 °C,—,0 mm,33.5 km/h,—,1010 hPa,55 %
2023-08-17 14:00:00,31 °C,20.9 °C,—,0 mm,40.7 km/h,—,1010 hPa,55 %
2023-08-17 15:00:00,31 °C,20.9 °C,—,0 mm,42.5 km/h,—,1010 hPa,55 %
2023-08-17 16:00:00,31 °C,20 °C,—,0 mm,37.1 km/h,—,1009 hPa,52 %
2023-08-17 17:00:00,30 °C,20 °C,—,0 mm,46.4 km/h,—,1010 hPa,55 %
2023-08-16 12:00:00,26 °C,21.9 °C,—,0 mm,11.2 km/h,—,1011.8 hPa,78 %
2023-08-16 13:00:00,27 °C,22 °C,—,0 mm,7.6 km/h,—,1011 hPa,74 %
2023-08-16 14:00:00,28 °C,22 °C,—,0 mm,11.2 km/h,—,1011 hPa,70 %
2023-08-16 15:00:00,27.1 °C,21.2 °C,—,0 mm,11.2 km/h,—,1010.7 hPa,70 %
2023-08-16 16:00:00,28 °C,21.1 °C,—,0 mm,9.4 km/h,—,1010 hPa,66 %
2023-08-16 17:00:00,29 °C,23 °C,—,0 mm,18.4 km/h,—,1010 hPa,70 %
2023-08-15 12:00:00,26.7 °C,22.3 °C,—,0 mm,18.4 km/h,—,1012.4 hPa,77 %
2023-08-15 13:00:00,27 °C,22 °C,—,0 mm,18.4 km/h,—,1012 hPa,74 %
2023-08-15 14:00:00,28 °C,22.9 °C,—,0 mm,18.4 km/h,—,1012 hPa,74 %
2023-08-15 15:00:00,28 °C,21.8 °C,—,0 mm,16.6 km/h,—,1012.2 hPa,69 %
2023-08-15 16:00:00,27 °C,22 °C,—,0 mm,24.1 km/h,—,1011 hPa,74 %
