DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-02 22:00:00,13 °C,11.1 °C,—,0 mm,4 km/h,—,1019 hPa,88 %
2024-11-02 23:00:00,12 °C,10.1 °C,—,0 mm,4 km/h,—,1020 hPa,88 %
2024-11-01 18:00:00,16.7 °C,10.1 °C,—,0 mm,30 km/h,—,1021.9 hPa,65 %
2024-11-01 19:00:00,15 °C,11 °C,—,0 mm,26 km/h,—,1022 hPa,77 %
2024-11-01 20:00:00,15 °C,11 °C,—,0 mm,22 km/h,—,1022 hPa,77 %
2024-11-01 21:00:00,14.6 °C,11.2 °C,—,0 mm,18 km/h,—,1022.5 hPa,80 %
2024-11-01 22:00:00,14 °C,11 °C,—,0 mm,11 km/h,—,1022 hPa,82 %
2024-11-01 23:00:00,13 °C,11.1 °C,—,0 mm,11 km/h,—,1022 hPa,88 %
2024-10-31 18:00:00,16.3 °C,9 °C,—,0 mm,28 km/h,—,1023.1 hPa,62 %
2024-10-31 19:00:00,15 °C,8.9 °C,—,0 mm,19 km/h,—,1023 hPa,67 %
2024-10-31 20:00:00,15 °C,10 °C,—,0 mm,17 km/h,—,1023 hPa,72 %
2024-10-31 21:00:00,14.9 °C,9.9 °C,—,0 mm,18 km/h,—,1024.2 hPa,72 %
2024-10-31 22:00:00,14 °C,10 °C,—,0 mm,11 km/h,—,1024 hPa,77 %
2024-10-31 23:00:00,13 °C,9.1 °C,—,0 mm,11 km/h,—,1024 hPa,77 %
2024-10-30 18:00:00,15.7 °C,6.7 °C,—,0 mm,21 km/h,—,1021.8 hPa,55 %
2024-10-30 19:00:00,15 °C,8 °C,—,0 mm,17 km/h,—,1022 hPa,63 %
2024-10-30 20:00:00,15 °C,8.9 °C,—,0 mm,15 km/h,—,1022 hPa,67 %
2024-10-30 21:00:00,15.4 °C,9.1 °C,—,0 mm,15 km/h,—,1022.2 hPa,66 %
2024-10-30 22:00:00,15 °C,8 °C,—,0 mm,22 km/h,—,1022 hPa,63 %
2024-10-30 23:00:00,15 °C,8 °C,—,0 mm,17 km/h,—,1023 hPa,63 %
2024-10-29 18:00:00,17.5 °C,12.2 °C,—,0 mm,21 km/h,—,1023.2 hPa,71 %
2024-10-29 19:00:00,17 °C,12.9 °C,—,0 mm,19 km/h,—,1023 hPa,77 %
2024-10-29 20:00:00,16 °C,12 °C,—,0 mm,20 km/h,—,1023 hPa,77 %
2024-10-29 21:00:00,16.5 °C,11.8 °C,—,0 mm,18 km/h,—,1023.8 hPa,74 %
2024-10-29 22:00:00,16 °C,12 °C,—,0 mm,17 km/h,—,1023 hPa,77 %
2024-10-29 23:00:00,16 °C,12 °C,—,0 mm,15 km/h,—,1023 hPa,77 %
2024-10-28 18:00:00,16 °C,12.4 °C,—,0 mm,9 km/h,—,1022.6 hPa,79 %
2024-10-28 19:00:00,14 °C,10 °C,—,0 mm,13 km/h,—,1023 hPa,77 %
2024-10-28 20:00:00,14 °C,11 °C,—,0 mm,11 km/h,—,1023 hPa,82 %
2024-10-28 21:00:00,14 °C,10.8 °C,—,0 mm,9 km/h,—,1022.8 hPa,81 %
2024-10-28 22:00:00,14 °C,11 °C,—,0 mm,7 km/h,—,1023 hPa,82 %
2024-10-28 23:00:00,14 °C,11 °C,—,0 mm,9 km/h,—,1023 hPa,82 %
2024-10-27 18:00:00,16.6 °C,10.7 °C,—,0 mm,30 km/h,—,1024.4 hPa,68 %
