DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-01 05:00:00,13 °C,10 °C,—,0 mm,11 km/h,—,1023 hPa,82 %
2024-10-31 01:00:00,14 °C,8 °C,—,0 mm,13 km/h,—,1022 hPa,67 %
2024-10-31 02:00:00,13 °C,8.1 °C,—,0 mm,11 km/h,—,1022 hPa,72 %
2024-10-31 03:00:00,13.4 °C,8.2 °C,—,0 mm,11 km/h,—,1022.4 hPa,71 %
2024-10-31 04:00:00,13 °C,8.1 °C,—,0 mm,11 km/h,—,1022 hPa,72 %
2024-10-31 05:00:00,13 °C,8.1 °C,—,0 mm,9 km/h,—,1022 hPa,72 %
2024-10-30 01:00:00,16 °C,12.9 °C,—,0 mm,11 km/h,—,1023 hPa,82 %
2024-10-30 02:00:00,16 °C,12.9 °C,—,0 mm,13 km/h,—,1023 hPa,82 %
2024-10-30 03:00:00,15.8 °C,13.1 °C,—,0 mm,13 km/h,—,1023 hPa,84 %
2024-10-30 04:00:00,16 °C,12.9 °C,—,0 mm,15 km/h,—,1022 hPa,82 %
2024-10-30 05:00:00,16 °C,12 °C,—,0 mm,19 km/h,—,1023 hPa,77 %
2024-10-29 01:00:00,14 °C,11 °C,—,0 mm,7 km/h,—,1022 hPa,82 %
2024-10-29 02:00:00,13 °C,11.1 °C,—,0 mm,6 km/h,—,1023 hPa,88 %
2024-10-29 03:00:00,13 °C,10.7 °C,—,0 mm,5 km/h,—,1023.2 hPa,86 %
2024-10-29 04:00:00,13 °C,11.1 °C,—,0 mm,9 km/h,—,1022 hPa,88 %
2024-10-29 05:00:00,13 °C,11.1 °C,—,0 mm,7 km/h,—,1023 hPa,88 %
2024-10-28 01:00:00,12 °C,10.1 °C,—,0 mm,4 km/h,—,1025 hPa,88 %
2024-10-28 02:00:00,12 °C,10.1 °C,—,0 mm,9 km/h,—,1025 hPa,88 %
2024-10-28 03:00:00,11.8 °C,10 °C,—,0 mm,9 km/h,—,1024.4 hPa,89 %
2024-10-28 04:00:00,11 °C,10.1 °C,—,0 mm,11 km/h,—,1024 hPa,94 %
2024-10-28 05:00:00,10 °C,9.1 °C,—,0 mm,11 km/h,—,1024 hPa,94 %
2024-10-27 01:00:00,12 °C,9 °C,—,0 mm,15 km/h,—,1026 hPa,82 %
2024-10-27 02:00:00,13 °C,9.1 °C,—,0 mm,13 km/h,—,1026 hPa,77 %
2024-10-27 03:00:00,12.6 °C,9.2 °C,—,0 mm,13 km/h,—,1026.7 hPa,80 %
2024-10-27 04:00:00,12 °C,9 °C,—,0 mm,11 km/h,—,1026 hPa,82 %
2024-10-27 05:00:00,13 °C,10 °C,—,0 mm,19 km/h,—,1026 hPa,82 %
2024-10-26 01:00:00,13 °C,8.1 °C,—,0 mm,15 km/h,—,1027 hPa,72 %
2024-10-26 02:00:00,13 °C,8.1 °C,—,0 mm,15 km/h,—,1027 hPa,72 %
2024-10-26 03:00:00,12.9 °C,7.8 °C,—,0 mm,15 km/h,—,1027.2 hPa,71 %
2024-10-26 04:00:00,12 °C,8.1 °C,—,0 mm,11 km/h,—,1027 hPa,77 %
2024-10-26 05:00:00,12 °C,8.1 °C,—,0 mm,7 km/h,—,1027 hPa,77 %
